                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                    inf,                0.19558,                0.87297,                 0.5351,                0.37802,                0.39731,                0.13265,                 2.4928,                 2.4372,                  3.149,              0.0048025,              0.0048025,              0.0048025
                    107,                0.24801,                0.19548,                0.87528,                0.57848,                0.38604,                 0.4162,                0.15083,                 2.4131,                 2.2869,                 3.1112,               0.004753,               0.004753,               0.004753
                    108,                0.25078,                0.20102,                0.87702,                0.58182,                0.36064,                0.41003,                0.14235,                 2.4556,                 2.4251,                 3.1529,              0.0047035,              0.0047035,              0.0047035
                    109,                0.25132,                0.19586,                0.87993,                0.55967,                0.44925,                0.46377,                0.15534,                 2.4988,                 2.2078,                 3.1555,               0.004654,               0.004654,               0.004654
                    110,                 0.2456,                0.19577,                 0.8752,                0.56153,                0.42415,                0.43018,                0.12669,                 2.5464,                 2.2402,                 3.1988,              0.0046045,              0.0046045,              0.0046045
                    111,                0.24599,                0.19607,                0.87143,                0.67408,                0.40817,                 0.4457,                0.14414,                 2.5801,                 2.4292,                 3.2323,               0.004555,               0.004555,               0.004555
                    112,                0.24515,                0.19654,                 0.8708,                0.59353,                0.39139,                0.41645,                 0.1276,                 2.6441,                 2.3295,                 3.1641,              0.0045055,              0.0045055,              0.0045055
                    113,                0.24751,                0.19837,                0.87431,                0.57489,                 0.4043,                0.42406,                0.14131,                 2.7233,                 2.3465,                 3.3296,               0.004456,               0.004456,               0.004456
                    114,                0.23985,                0.19146,                0.86737,                0.55826,                 0.4271,                0.43068,                 0.1252,                 2.8331,                 2.4036,                 3.4145,              0.0044065,              0.0044065,              0.0044065
                    115,                0.24344,                0.19356,                0.87283,                0.55235,                0.42415,                0.43597,                 0.1347,                   2.83,                 2.2487,                 3.3649,               0.004357,               0.004357,               0.004357
                    116,                0.23718,                0.18656,                 0.8698,                0.56561,                0.42563,                0.44308,                0.13262,                  2.673,                 2.2695,                 3.2414,              0.0043075,              0.0043075,              0.0043075
                    117,                0.23799,                0.18958,                0.86806,                0.61048,                0.44624,                0.45749,                0.16066,                 2.6924,                 1.9631,                 3.1445,               0.004258,               0.004258,               0.004258
                    118,                0.23527,                0.18854,                0.87028,                  0.586,                 0.3794,                0.42367,                0.12298,                 2.7118,                 2.5725,                 3.2801,              0.0042085,              0.0042085,              0.0042085
                    119,                0.23646,                0.18859,                0.86919,                0.62373,                0.39028,                 0.4428,                0.12419,                 2.6472,                  2.338,                  3.225,               0.004159,               0.004159,               0.004159
                    120,                0.23468,                0.18829,                0.86798,                0.63805,                0.30928,                 0.3974,                0.12289,                 2.7123,                 2.4585,                 3.3256,              0.0041095,              0.0041095,              0.0041095
                    121,                0.23688,                0.18957,                 0.8686,                0.62182,                0.34315,                0.40397,                0.14157,                 2.6249,                 2.3325,                 3.2709,                0.00406,                0.00406,                0.00406
                    122,                0.23374,                 0.1887,                0.86985,                0.63771,                0.31664,                0.39121,                0.12056,                 2.6628,                 2.4856,                 3.3525,              0.0040105,              0.0040105,              0.0040105
